item,frequency(N1K5000),frequency(N1K500),frequency(N1K50),frequency(N1K5),frequency(N2K5000),frequency(N2K500),frequency(N2K50),frequency(N2K5),frequency(N4K5000),frequency(N4K500),frequency(N4K50),frequency(N4K5),frequency(N8K5000),frequency(N8K500),frequency(N8K50),frequency(N8K5),frequency(N8K20000),frequency(N3K10),frequency(N17K10)
z,409,409,409,1186,409,409,409,1172,409,409,409,5070,409,828,409,2738,409,1145,1212
r,382,382,382,1867,382,382,1170,1925,382,382,758,5070,382,382,382,1944,382,382,2313
n,397,397,397,1186,397,397,397,1925,397,397,1143,1160,397,397,397,2216,397,1967,397
b,412,412,412,2819,412,412,1170,3070,412,412,819,5070,412,412,412,1157,412,412,2313
f,414,794,414,2819,414,414,414,3070,414,414,414,1511,414,414,414,1945,414,1585,1897
s,370,370,370,2593,370,774,370,3070,370,370,1143,1511,370,370,370,1157,370,1847,765
u,340,340,340,2593,340,340,759,3070,340,340,735,5070,340,340,748,2216,340,340,727
t,384,1135,384,1867,384,384,384,1172,384,384,384,1126,384,384,791,1944,384,1967,1212
m,376,376,376,1867,376,376,1170,3070,376,376,758,1160,376,376,376,1945,376,1847,744
a,368,368,743,2819,368,368,368,1179,368,368,730,1133,368,368,368,1945,368,1847,744
l,419,419,419,2819,419,419,759,1925,419,419,419,5070,419,828,419,2738,419,1967,1212
h,365,365,365,2593,365,365,1112,1925,365,365,365,1511,365,365,365,2738,365,2322,2313
k,387,387,1172,1867,387,387,387,3070,387,387,387,1160,387,387,387,2738,387,1585,727
e,404,404,404,2819,404,774,404,1179,404,404,404,1126,404,404,404,1944,404,2322,2313
p,375,1135,743,2593,375,375,375,2654,375,375,375,5070,375,375,375,1157,375,1585,751
y,338,338,338,1867,338,338,1112,2654,338,338,338,1126,338,338,338,2216,338,1847,1897
o,407,407,407,2819,407,407,407,1179,407,407,819,5070,407,407,791,1945,407,2322,407
v,388,388,388,2593,388,388,388,2654,388,388,388,5070,388,388,388,2738,388,1967,2313
j,380,794,380,1186,380,380,380,2654,380,380,380,5070,380,380,380,1945,380,1145,1897
d,379,379,379,2593,379,379,379,1172,379,379,735,5070,379,379,379,1944,379,1967,787
q,408,408,408,1535,408,408,408,2654,408,408,408,5070,408,408,748,2738,408,2322,787
g,409,409,1172,1535,409,409,1112,2654,409,409,409,1133,409,409,409,2216,409,1585,1897
w,362,362,362,1535,362,362,362,1925,362,362,730,1511,362,362,362,2738,362,2322,2313
c,395,395,395,2819,395,395,395,3070,395,395,735,5070,395,395,395,1944,395,1847,765
x,356,356,356,1535,356,356,356,2654,356,356,735,1133,356,356,356,2216,356,1145,1897
i,376,1135,1172,2593,376,376,376,3070,376,376,1143,5070,376,376,376,2216,376,2322,751
