item,frequency
Consumer Brands,20
Men,20
Movies,330
MP3 Music Services,5
Music Groups,5
New Products,5
News Resources,5
Retailers,10
Sports,100
TV Shows,305
Video Games,40
Women,20
Athletes,125
Kids' Images,5
Musicians and Bands,40
News Stories,20
Technology,35
Travel Destinations,70
Marques,5
Personnalités,25
Tendances de l'année,20
Die häufigsten Suchbegriffe,10
Meist gesuchte Automarken,5
Meist gesuchte Musiker 2002,5
Searches,620
Anime Images,5
Earthquake Searches,5
Fictional Character Images,5
Male Celebrity Images,10
News Searches,30
Popular Movies,15
Popular Queries,25
Popular Sports-Related Queries,5
Popular Brands,10
Popular Music,5
Femmes célèbres,5
Hommes célèbres,5
Beliebte Filme,5
Beliebte Suchanfragen,5
Beliebte Suchanfragen aus dem Reisebereich,5
Popular Italian Singers,5
Popular Men,10
Travel,15
Car Images,5
Cartoons Images,5
Companies,5
Countries,5
Deaths of 2004,5
Entertainment,50
Female Celebrity Images,5
Foods,5
Froogle Brand Searches,5
Froogle Clothing Searches,5
Froogle Computer Goods Searches,5
Froogle Electronics Searches,5
Froogle Hobby Searches,5
Froogle Shoe Searches,5
Health Services,5
Hotel Chains,5
News Outlets,5
Professional Services,5
Public Figures,5
Retail Chains,5
Sports Services,5
Froogle Searches,5
Most Searched,15
Deaths of 2006,5
Define...,5
Divorces,5
How to...,170
Jerseys,5
Retirements,5
Weddings,20
What is...,100
Where is...,10
Who is...,15
Movie Showtimes,5
Scandals,5
Tickets,10
Deaths of 2007,5
Diets,65
Fitness,10
How To,20
Lawsuits,5
Lyrics,45
Presidential Campaign,5
Recipes,175
Ringtones,5
What is,20
Who is,5
Campaign Buzzwords,5
Cocktails,25
Comfort Foods,5
Concerts,15
Deaths of 2008,5
DIY,15
How To...,25
It's All Over Now,5
Mascots,5
MLB,5
Movie Trailers,5
NBA Teams,30
NFL Teams,30
NHL Teams,15
Olympic Sports,5
Political News Sources,5
Reality Shows,5
Rivalries,5
Soccer Teams,10
Social Networks,5
What Is...,20
Conflicto del Campo,5
Economia,5
Fútbol,10
Google,10
Más Popular,5
Most Popular,50
Top Crises,5
Top Movies,5
Top Olympians,5
Top Stores,5
Die Häufigsten Suchbegriffe 2008,5
