item,frequency(N30K600),frequency(N60K1200),frequency(N90K1800),frequency(N120K2400),frequency(N150K3000),frequency(N180K3600),frequency(N210K4200),frequency(N240K4800)
Consumer Brands,85,70,85,70,20,70,25,70
Men,40,20,20,20,20,20,20,20
Movies,395,355,345,355,345,330,345,355
MP3 Music Services,55,40,30,5,10,30,10,5
Music Groups,65,45,15,35,5,5,20,5
New Products,35,25,10,25,20,5,5,5
News Resources,150,35,135,15,5,25,5,10
Retailers,35,10,35,10,10,10,35,10
Sports,135,110,110,105,105,100,110,105
TV Shows,355,310,310,310,310,305,310,310
Video Games,60,50,45,50,45,45,40,45
Women,60,55,40,50,20,40,20,20
Athletes,145,135,145,125,125,135,125,125
Kids' Images,60,10,10,5,5,5,10,5
Musicians and Bands,65,55,55,50,45,45,45,45
News Stories,70,65,20,20,20,20,20,20
Technology,55,45,40,35,35,35,35,35
Travel Destinations,120,115,85,95,70,80,85,80
Marques,40,20,20,15,10,10,5,10
Personnalités,30,30,25,25,25,25,25,25
Tendances de l'année,30,20,20,20,20,20,20,20
Die häufigsten Suchbegriffe,15,15,10,10,10,10,10,10
Meist gesuchte Automarken,15,5,5,5,10,5,5,5
Meist gesuchte Musiker 2002,15,5,15,5,15,5,5,5
Searches,655,645,630,620,635,620,620,620
Anime Images,5,5,5,5,5,5,5,5
Earthquake Searches,15,10,5,5,5,5,5,5
Fictional Character Images,60,25,35,10,35,20,20,10
Male Celebrity Images,65,10,30,10,30,10,25,10
News Searches,55,50,35,35,35,35,40,35
Popular Movies,65,55,25,40,15,15,15,40
Popular Queries,75,45,60,30,35,35,25,30
Popular Sports-Related Queries,105,35,75,30,10,5,65,30
Popular Brands,30,25,10,10,25,10,10,10
Popular Music,20,10,20,10,5,10,5,5
Femmes célèbres,395,355,30,355,35,10,20,355
Hommes célèbres,20,5,15,5,5,5,10,5
Beliebte Filme,30,5,15,5,10,5,5,5
Beliebte Suchanfragen,50,35,10,25,35,10,25,25
Beliebte Suchanfragen aus dem Reisebereich,55,35,20,30,25,20,5,5
Popular Italian Singers,60,15,15,5,5,5,15,5
Popular Men,25,20,25,20,15,20,10,20
Travel,35,25,20,20,15,20,15,20
Car Images,75,65,15,35,40,10,5,10
Cartoons Images,70,45,45,40,35,40,5,15
Companies,35,35,30,35,5,30,10,10
Countries,20,5,5,5,10,5,5,5
Deaths of 2004,65,55,5,25,30,5,5,5
Entertainment,75,65,60,55,60,50,50,55
Female Celebrity Images,30,25,10,20,10,5,5,5
Foods,55,10,15,10,10,5,5,10
Froogle Brand Searches,15,15,10,5,5,10,5,5
Froogle Clothing Searches,15,10,10,5,10,10,5,5
Froogle Computer Goods Searches,55,25,30,15,15,15,15,5
Froogle Electronics Searches,30,10,10,10,5,5,5,10
Froogle Hobby Searches,30,10,10,10,5,5,5,10
Froogle Shoe Searches,125,45,55,5,30,45,25,5
Health Services,165,30,60,25,5,25,10,25
Hotel Chains,25,20,15,15,5,10,5,10
News Outlets,35,10,30,10,15,5,5,5
Professional Services,45,10,10,10,25,5,5,5
Public Figures,35,15,30,10,10,10,30,5
Retail Chains,30,25,20,15,5,15,15,5
Sports Services,25,10,5,5,10,5,5,5
Froogle Searches,15,15,5,15,5,5,5,15
Most Searched,35,20,25,15,15,15,15,15
Deaths of 2006,45,30,25,20,20,20,15,20
Define...,45,20,20,10,10,5,5,5
Divorces,170,165,15,45,10,10,120,10
How to...,215,210,175,190,185,175,185,185
Jerseys,75,45,15,15,35,10,30,15
Retirements,35,30,5,25,25,5,5,5
Weddings,55,45,50,30,35,40,25,20
What is...,165,135,105,100,110,100,100,100
Where is...,45,30,10,10,10,10,15,10
Who is...,80,15,80,15,80,15,15,15
Movie Showtimes,105,30,30,25,45,10,25,15
Scandals,25,15,10,10,15,10,5,10
Tickets,10,10,10,10,10,10,10,10
Deaths of 2007,10,5,5,5,5,5,10,5
Diets,65,65,65,65,65,65,65,65
Fitness,45,15,10,15,15,10,20,15
How To,70,20,30,20,25,20,25,20
Lawsuits,35,25,10,20,10,10,20,10
Lyrics,100,90,60,80,60,50,45,80
Presidential Campaign,25,10,10,10,5,10,5,10
Recipes,195,190,175,190,175,175,175,190
Ringtones,60,15,50,5,20,15,5,5
What is,60,40,40,35,35,35,20,20
Who is,5,5,5,5,5,5,5,5
Campaign Buzzwords,85,45,40,5,5,40,45,5
Cocktails,35,35,25,30,30,25,30,25
Comfort Foods,25,10,5,10,15,5,5,5
Concerts,195,190,15,190,15,15,15,190
Deaths of 2008,10,5,5,5,5,5,5,5
DIY,40,35,35,15,15,35,15,15
How To...,50,40,30,40,35,30,25,30
It's All Over Now,40,25,20,20,10,15,25,15
Mascots,10,10,5,5,5,5,5,5
MLB,20,5,10,5,5,5,5,5
Movie Trailers,30,10,30,5,10,10,25,5
NBA Teams,75,65,35,30,40,30,35,30
NFL Teams,230,35,35,35,35,30,35,35
NHL Teams,60,25,35,15,35,20,20,15
Olympic Sports,15,15,10,10,10,10,5,5
Political News Sources,105,105,5,10,100,5,5,10
Reality Shows,25,15,5,5,5,5,5,5
Rivalries,45,40,15,25,25,15,5,15
Soccer Teams,125,65,20,65,10,20,20,15
Social Networks,20,20,5,10,10,5,5,10
What Is...,35,30,20,25,25,20,20,20
Conflicto del Campo,25,15,15,15,10,5,5,10
Economia,340,255,55,230,30,40,5,230
Fútbol,70,60,15,40,30,10,20,25
Google,45,15,25,10,10,10,15,10
Más Popular,65,20,10,15,35,10,40,10
Most Popular,95,60,60,50,55,55,50,50
Top Crises,35,10,10,5,5,5,15,5
Top Movies,30,20,15,15,10,10,10,10
Top Olympians,10,10,10,5,10,10,5,5
Top Stores,15,5,5,5,15,5,5,5
Die Häufigsten Suchbegriffe 2008,55,10,10,10,35,10,15,10
Meist Gesuchte Automarken 2008,15,15,10,15,5,10,5,10
Meist Gesuchte Personen 2008,25,10,10,10,10,5,10,5
Meist Gesuchte Skandale 2008,30,20,20,5,5,15,10,5
Meistgesuchte Rezepte 2008,15,10,10,5,5,10,5,5
Celebridades,70,45,45,40,35,40,35,25
Eleições 2008,40,35,5,30,10,5,10,25
Futebol,20,10,15,5,10,5,5,5
Mais Pesquisados,15,5,5,5,5,5,5,5
Relaciondada com o Google,45,35,15,25,5,10,5,15
Top Celebrities,75,45,45,35,20,30,15,15
Top News Sources,30,10,10,5,5,10,5,5
Top Personal Electronics,70,60,25,30,25,25,10,30
Top Political Parties,15,15,10,10,5,10,5,10
Economía y Política,15,15,5,15,15,5,5,10
Más Populares,40,35,35,20,20,35,25,20
Personajes Del Año,20,15,15,5,5,10,5,5
年度搜索最多 ,50,45,5,40,10,5,40,40
年度搜索最多的“是什么”,10,10,10,5,5,10,10,5
年度新词汇,20,5,5,5,5,5,5,5
年度热点中国事件,65,45,45,5,5,45,5,5
年度热点国际事件,45,35,20,15,10,20,5,5
Economía,15,15,15,5,5,15,15,5
Escándalos,65,45,25,10,10,20,10,10
Los Viajes,90,75,45,40,5,40,10,5
Universidades,20,10,10,5,10,5,10,5
"Kauzy Ceských Politiků, Slavných A Bohatých",55,20,15,10,15,5,10,5
Nejvyhledávanější,75,15,10,10,5,10,5,5
Oblíbené Sporty v Čechách,15,10,10,10,5,5,5,5
České Celebrity,45,20,10,20,5,5,5,20
